"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lpin1",0.000120084151885242,0.186056803355994,0.228,0.128,1,"4","Lpin1"
"Lactb2",0.00012194209981716,0.241806037340579,0.614,0.486,1,"4","Lactb2"
"Cops7a",0.000123563266391578,0.225933258812396,0.94,0.88,1,"4","Cops7a"
"Cyfip1",0.000125811926079791,0.18583376373404,0.984,0.984,1,"4","Cyfip1"
"Cyct",0.000127331716066732,0.070387567756998,0.022,0.002,1,"4","Cyct"
"2310001H17Rik",0.000128688326266497,0.126790373041886,0.141,0.064,1,"4","2310001H17Rik"
"Nudt8",0.000128828399018805,0.235536847504171,0.755,0.64,1,"4","Nudt8"
"Tmem30b",0.000128982429762101,0.042883024111283,0.022,0.002,1,"4","Tmem30b"
"Gm49024",0.000128982429762101,0.035269840001408,0.022,0.002,1,"4","Gm49024"
"Smim40",0.00012898472431404,0.0420316254197754,0.022,0.002,1,"4","Smim40"
"Rhox5",0.000128986158424536,0.266282755354296,0.022,0.002,1,"4","Rhox5"
"Diaph1",0.000129944729306866,0.280135674108237,0.832,0.764,1,"4","Diaph1"
"Rasef",0.000130318198258462,0.0276162674579728,0.022,0.002,1,"4","Rasef"
"Gm19345",0.000130318198258462,0.0276162674579728,0.022,0.002,1,"4","Gm19345"
"Rasal2",0.000130712795444491,0.242093196736093,0.522,0.391,1,"4","Rasal2"
"Eif3g1",0.000131244872766181,0.161826414577736,1,0.992,1,"4","Eif3g"
"Zyg11a",0.000131671086602104,0.0267648687664652,0.022,0.002,1,"4","Zyg11a"
"Csf3",0.000131671086602104,0.0267648687664652,0.022,0.002,1,"4","Csf3"
"Tcerg1l",0.000133036609269804,0.0242136832371327,0.022,0.002,1,"4","Tcerg1l"
"Ube2a",0.000134723784935859,0.237602140994303,0.924,0.942,1,"4","Ube2a"
"Micu3",0.00013521428470169,0.221073722656301,0.44,0.313,1,"4","Micu3"
"Lipg",0.000135671902523381,0.136114893172495,0.038,0.008,1,"4","Lipg"
"Dusp271",0.000136560278526097,0.0710198649506097,0.038,0.008,1,"4","Dusp27"
"Gm13411",0.000136771138620433,0.057839892702072,0.038,0.008,1,"4","Gm13411"
"Pacs11",0.00013700415237019,0.359511979588724,0.587,0.492,1,"4","Pacs1"
"Map7d21",0.000138834223190676,0.146689930479591,0.13,0.058,1,"4","Map7d2"
"Zmat21",0.000138993435085625,0.167647837240052,0.978,0.992,1,"4","Zmat2"
"Yipf3",0.000140756129066192,0.246580950866865,0.87,0.802,1,"4","Yipf3"
"Fndc7",0.000142463729317214,0.0636023933881268,0.038,0.008,1,"4","Fndc7"
"Nxnl2",0.000142679635741714,0.0428116834697402,0.038,0.008,1,"4","Nxnl2"
"Il17rb",0.000142679635741714,0.0428116834697402,0.038,0.008,1,"4","Il17rb"
"Esyt31",0.000143159285384843,0.0657625696382817,0.06,0.017,1,"4","Esyt3"
"Gm31597",0.000144320134979233,0.0419647829224444,0.038,0.008,1,"4","Gm31597"
"1110008P14Rik1",0.000144496553114117,0.277489886333494,0.864,0.816,1,"4","1110008P14Rik"
"Gpha2",0.000144804934724702,0.046960732805952,0.038,0.008,1,"4","Gpha2"
"Atxn101",0.000144990544863311,0.347408407040846,0.967,0.959,1,"4","Atxn10"
"Ppp1r11",0.000146354258885636,0.29263298221051,1,0.993,1,"4","Ppp1r11"
"Trim6",0.000147331429611099,0.112200845744816,0.065,0.02,1,"4","Trim6"
