"logFC","AveExpr","t","P.Value","adj.P.Val","B","ID_REF","SYMBOL","Probe_ID"
-3.61668910542199,8.13056282192791,-25.8559254371845,1.95805536917779e-07,8.7490152889201e-05,8.19754716358702,"ILMN_2815024","Fut8",150035
-4.53997144034696,7.76020501696815,-25.8021050605094,1.98274653207975e-07,8.7490152889201e-05,8.18603762377636,"ILMN_2691780","Myl3",60202
-1.63805549871941,8.16086903595877,-25.7511513268177,2.00645703615068e-07,8.7490152889201e-05,8.17511012696267,"ILMN_3149680","Fbxl12",4150440
2.68880708453513,9.70449962595079,25.7242461060643,2.01910998558497e-07,8.7490152889201e-05,8.16932785487577,"ILMN_1218617","Mtrex",4640670
-2.83336733512465,7.28107227237687,-25.6991811480886,2.03098110911222e-07,8.7490152889201e-05,8.16393347285719,"ILMN_2606921","Klb",4490253
-3.70897918093979,7.52457595081833,-25.2537313877111,2.25612656354454e-07,9.50761161615454e-05,8.06682661108595,"ILMN_2595593","Fxyd3",2470408
-3.41857413180878,7.45717859935273,-24.673859950482,2.59418100663175e-07,0.000106996167688418,7.9368082009858,"ILMN_1213474","Cited1",3990292
-3.04644562308212,9.22576409328697,-24.5735907633922,2.65844228149159e-07,0.000107362299222322,7.91390021015969,"ILMN_2656854","Myo6",3940687
-2.5738204092555,6.93364092346491,-24.3759520345008,2.79061017535316e-07,0.000109117207045384,7.8683709039139,"ILMN_1246307","Wfdc1",5340091
3.386927813228,8.47834498382809,24.1326768521047,2.96393339767999e-07,0.000109117207045384,7.8116343130169,"ILMN_2522863","Gli2",5670279
-2.13590742359558,7.08887687355485,-24.0681213441649,3.01200865495259e-07,0.000109117207045384,7.79644839830806,"ILMN_1258183","Tex13b",3130424
-6.27964100908265,8.88483954959527,-24.0630334302056,3.0158361038193e-07,0.000109117207045384,7.79524918504643,"ILMN_1253182","Hs3st1",4490445
-4.25599811850901,7.48212920244032,-24.0577169017468,3.01984157808014e-07,0.000109117207045384,7.79399572138009,"ILMN_2699466","Pla2g12b",650376
3.51761527457891,9.26398087694805,23.994537230146,3.06791812739344e-07,0.000109117207045384,7.77907130521108,"ILMN_1232261","Ctnnal1",2320168
5.67863344295684,9.80803965801294,23.9582635428248,3.09592282047776e-07,0.000109117207045384,7.77047866720363,"ILMN_2690603","Spp1",1170139
