"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpank1",0.00429257309036856,0.165648351300969,0.535,0.38,1,"U","Gpank1"
"Nanog",0.00430039886087996,0.133213630341404,0.04,0.009,1,"U","Nanog"
"Zdhhc13",0.00430098247094478,0.179457189617305,0.396,0.269,1,"U","Zdhhc13"
"Ryr3",0.00431494235717492,0.149338455194662,0.059,0.018,1,"U","Ryr3"
"Setx",0.00432127933025603,0.327618846994142,0.733,0.664,1,"U","Setx"
"Zpbp",0.00435562624254898,0.0432761474348029,0.04,0.009,1,"U","Zpbp"
"Bst21",0.00436945297449231,0.367582876669574,1,0.997,1,"U","Bst2"
"C430042M11Rik",0.00439518501296753,0.0712720754379742,0.059,0.018,1,"U","C430042M11Rik"
"Ddx59",0.00439822670709269,0.138056550111008,0.297,0.179,1,"U","Ddx59"
"Map3k61",0.00443269044223453,0.113654805301987,0.218,0.118,1,"U","Map3k6"
"Cpne31",0.00444210953505328,0.193746106676519,0.921,0.92,1,"U","Cpne3"
"Unc5d",0.00446914528134222,0.040104225949922,0.04,0.009,1,"U","Unc5d"
"Dera",0.00450040910650831,0.281613227257324,0.663,0.554,1,"U","Dera"
"Chordc11",0.00451325236648874,0.221542498985092,0.95,0.93,1,"U","Chordc1"
"Zfp456",0.00451659597701998,0.0796619278157075,0.099,0.039,1,"U","Zfp456"
"Clcn2",0.00451659597701998,0.0796619278157075,0.099,0.039,1,"U","Clcn2"
"Ttc39a",0.00452164004799662,0.0681278060330669,0.059,0.018,1,"U","Ttc39a"
"Rapgef2",0.00452538042040639,0.288580846450827,0.515,0.4,1,"U","Rapgef2"
"Zdhhc4",0.00458011696177877,0.279707970276558,0.584,0.474,1,"U","Zdhhc4"
"mt-Co1",0.00459820875239155,0.148634338203031,1,1,1,"U","mt-Co1"
"Park71",0.00460042165970261,0.143287784329961,1,0.999,1,"U","Park7"
"Gcat2",0.00461784439892427,0.229590576626113,0.446,0.318,1,"U","Gcat"
"St6galnac3",0.00461862522745629,0.0735140703267317,0.089,0.033,1,"U","St6galnac3"
"Limk21",0.00463598270818698,0.181360405263965,0.624,0.462,1,"U","Limk2"
"Zfp292",0.00466506272253048,0.284768309163974,0.802,0.698,1,"U","Zfp292"
"Eps8l21",0.00469473767430065,0.134395565496433,0.119,0.052,1,"U","Eps8l2"
"Lrrc27",0.00471600070936995,0.0699539173694237,0.079,0.028,1,"U","Lrrc27"
"Haus3",0.00472277946718844,0.38931600639394,0.762,0.737,1,"U","Haus3"
"Ltf1",0.00472845961978858,0.577481096812783,0.099,0.041,1,"U","Ltf"
"Abhd4",0.00474616164076321,0.215279643761301,0.386,0.266,1,"U","Abhd4"
"Ppcs",0.00477369422095121,0.219152427436882,0.455,0.327,1,"U","Ppcs"
