"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slit1",8.57589228990601e-28,0.164432064726694,0.087,0.006,1.59125681439206e-23,"7","Slit1"
"Dock3",9.63670875833787e-28,0.130411835838114,0.07,0.004,1.78809131010959e-23,"7","Dock3"
"Npas3",1.11901329080553e-27,0.365823802745132,0.174,0.027,2.07632916108966e-23,"7","Npas3"
"Dbh",1.14832925533184e-27,0.248630158066934,0.058,0.002,2.13072493326823e-23,"7","Dbh"
"Spns2",1.18120444551818e-27,0.12472022421476,0.058,0.002,2.19172484865898e-23,"7","Spns2"
"Cnksr21",1.373989584107e-27,0.382139137023908,0.209,0.038,2.54943767331054e-23,"7","Cnksr2"
"Smarcad11",1.43075043111609e-27,0.818319004143558,0.93,0.733,2.6547574249359e-23,"7","Smarcad1"
"Syn11",1.43128490669617e-27,0.252020857181472,0.163,0.023,2.65574914437474e-23,"7","Syn1"
"Brd32",1.5436059307715e-27,0.75213738712846,0.977,0.787,2.86416080454651e-23,"7","Brd3"
"Rtf1",1.58242639171221e-27,0.761081243801131,0.988,0.864,2.936192169822e-23,"7","Rtf1"
"Pdzrn4",1.92724236936987e-27,0.450529469290428,0.128,0.015,3.57599821636579e-23,"7","Pdzrn4"
"Hnrnpk2",1.93626267514986e-27,0.476566996703704,1,1,3.59273539374056e-23,"7","Hnrnpk"
"Amn1",1.94948099668808e-27,0.959760627621243,0.576,0.296,3.61726198935472e-23,"7","Amn1"
"Igfbp21",2.37158985967272e-27,0.833937554433076,0.512,0.187,4.40048498462273e-23,"7","Igfbp2"
"Sh3gl3",2.39530516599809e-27,0.423428082744482,0.221,0.043,4.44448873550945e-23,"7","Sh3gl3"
"Kcnk10",2.53635145033729e-27,0.311226972444209,0.186,0.03,4.70620011610083e-23,"7","Kcnk10"
"Vav31",2.61124095104654e-27,0.67666087232774,0.314,0.085,4.84515758466686e-23,"7","Vav3"
"Senp64",2.6749893845793e-27,0.688871200962975,1,0.884,4.96344280308689e-23,"7","Senp6"
"Ralgps1",2.68380065201708e-27,0.403766751629076,0.221,0.043,4.9797921098177e-23,"7","Ralgps1"
"Uba12",2.82066040795958e-27,0.736961057045497,1,0.955,5.233735386969e-23,"7","Uba1"
"Tafa51",2.97561280647495e-27,0.62093192742891,0.244,0.052,5.52124956241427e-23,"7","Tafa5"
"Ncam2",2.99244178494361e-27,0.195893099953686,0.076,0.005,5.55247573196286e-23,"7","Ncam2"
"Tppp31",2.99624200317163e-27,0.922752411111115,0.523,0.208,5.55952703688495e-23,"7","Tppp3"
"Ubald23",3.02627171588188e-27,0.736420217482618,0.948,0.754,5.61524716881883e-23,"7","Ubald2"
"Herc11",3.64831406054185e-27,0.806292578496608,0.872,0.667,6.7694467393354e-23,"7","Herc1"
"Bnip3l1",3.66149700845621e-27,0.650983527056441,0.988,0.836,6.7939076991905e-23,"7","Bnip3l"
"Hnrnpa2b12",3.71996714702532e-27,0.563735047885145,1,0.999,6.90239904130548e-23,"7","Hnrnpa2b1"
"Cbx33",3.74226686745763e-27,0.608030004389716,1,0.963,6.94377617256764e-23,"7","Cbx3"
"Elmo11",5.15344591427162e-27,0.967628092793291,0.465,0.182,9.56221889393099e-23,"7","Elmo1"
"Timm8b3",5.42833094682079e-27,0.539142780049193,1,0.988,1.0072268071826e-22,"7","Timm8b"
"Pbrm13",5.68975992919519e-27,0.730678583708817,1,0.96,1.05573495486217e-22,"7","Pbrm1"
"Sez61",5.82874455363053e-27,0.246414875532852,0.122,0.013,1.08152355192614e-22,"7","Sez6"
"G3bp22",6.033410920894e-27,0.6297772194591,1,0.984,1.11949939637188e-22,"7","G3bp2"
"Ywhah1",6.37390056216902e-27,0.730943131522015,1,0.975,1.18267724931046e-22,"7","Ywhah"
"Cuedc22",6.78663511356806e-27,0.693896180381098,0.988,0.905,1.25926014532255e-22,"7","Cuedc2"
"Slc38a22",6.8733052633067e-27,0.71476652976715,0.994,0.885,1.27534179160656e-22,"7","Slc38a2"
"AC149090.11",7.12204743753464e-27,1.10007175782467,0.663,0.431,1.32149590203455e-22,"7","AC149090.1"
"Ndufb73",7.12855603085539e-27,0.550095249049555,1,0.998,1.32270357152522e-22,"7","Ndufb7"
"Zfp606",7.28109089741536e-27,0.732819115777427,0.384,0.129,1.35100641601542e-22,"7","Zfp606"
"Cdk44",7.36982997329945e-27,0.641812254779503,1,0.996,1.36747195154571e-22,"7","Cdk4"
"Dnm3",7.52122870642514e-27,0.756946850251451,0.302,0.081,1.39556398647718e-22,"7","Dnm3"
"Slc18a2",8.81763800611408e-27,0.274918699621981,0.093,0.008,1.63611273203447e-22,"7","Slc18a2"
"Map3k121",9.17457938385166e-27,0.704770849156536,0.395,0.139,1.70234320467368e-22,"7","Map3k12"
"Fign1",9.50485029591673e-27,0.833442355118935,0.401,0.136,1.76362497240735e-22,"7","Fign"
"Phip2",1.33952619370722e-26,0.857739406112309,0.977,0.81,2.48549085242376e-22,"7","Phip"
"Psma72",1.71694232321329e-26,0.456758193427229,1,1,3.18578648072226e-22,"7","Psma7"
"Mcrip12",1.80041800608996e-26,0.699341676663118,0.936,0.742,3.34067561029992e-22,"7","Mcrip1"
"Jph4",1.86151260504186e-26,0.242827048647597,0.128,0.015,3.45403663865517e-22,"7","Jph4"
"Gpr851",2.17504095397892e-26,0.442141122743513,0.209,0.04,4.03578849010789e-22,"7","Gpr85"
"Dmrtb1",2.28245042977396e-26,0.214327841889418,0.076,0.005,4.23508677244559e-22,"7","Dmrtb1"
"Pafah1b23",2.30301192753067e-26,0.677632576911307,0.994,0.908,4.27323863153316e-22,"7","Pafah1b2"
"Kcnn1",2.35568549664434e-26,0.352206505320219,0.174,0.028,4.37097443902358e-22,"7","Kcnn1"
"Gm14634",2.39557917007364e-26,0.136718526726812,0.076,0.005,4.44499715007164e-22,"7","Gm14634"
"Kcnq3",2.66274789772304e-26,0.138351828204204,0.064,0.003,4.9407287242251e-22,"7","Kcnq3"
"Dlgap3",2.79733425556133e-26,0.122758263294679,0.064,0.003,5.19045371119406e-22,"7","Dlgap3"
"Gm37107",3.07365666045329e-26,0.0729252128240535,0.035,0,5.70316993347107e-22,"7","Gm37107"
"Gm5868",3.07365666045329e-26,0.0729252128240535,0.035,0,5.70316993347107e-22,"7","Gm5868"
"Cntn1",3.09101333103034e-26,0.132373796758195,0.058,0.003,5.7353752357268e-22,"7","Cntn1"
"Tceal6",3.10048240958448e-26,0.0729252128240535,0.035,0,5.752945110984e-22,"7","Tceal6"
"Xkr6",3.17791688656144e-26,0.569547349730483,0.238,0.053,5.89662478301475e-22,"7","Xkr6"
"Pafah1b13",3.75246178769959e-26,0.577043235359799,1,0.99,6.96269284707659e-22,"7","Pafah1b1"
"Dhx363",3.93040241879862e-26,0.69601803738784,1,0.941,7.29286168808084e-22,"7","Dhx36"
"Ndrg42",4.04119157442398e-26,0.648930876620899,0.343,0.103,7.4984309663437e-22,"7","Ndrg4"
"Prmt13",4.27296547589043e-26,0.584448515001657,1,0.988,7.92848744051469e-22,"7","Prmt1"
"Rusc11",4.35387316905664e-26,0.686420798816793,0.43,0.162,8.07861166518459e-22,"7","Rusc1"
"Pak11",4.56241174541405e-26,0.893958569225497,0.651,0.392,8.46555499361577e-22,"7","Pak1"
"Mir100hg3",4.80886876300887e-26,0.791746769981177,0.971,0.727,8.92285598976295e-22,"7","Mir100hg"
"Zfp9411",5.07389880384005e-26,0.314981570926001,0.169,0.027,9.41461923052521e-22,"7","Zfp941"
"Sept62",5.13845407613935e-26,1.0498213729262,0.547,0.271,9.53440153827656e-22,"7","Sept6"
"Lmx1b1",5.29721815885919e-26,0.211399832006706,0.099,0.009,9.82898829376323e-22,"7","Lmx1b"
"Mpp3",6.13227172634853e-26,0.151505745410947,0.099,0.009,1.13784301882397e-21,"7","Mpp3"
"Wsb1",6.17798102805533e-26,0.835541705639071,0.709,0.5,1.14632437975567e-21,"7","Wsb1"
"Clcn41",6.57806294635247e-26,0.851289981883948,0.657,0.405,1.2205595796957e-21,"7","Clcn4"
"Myh102",7.22677388136673e-26,0.781657482429592,0.913,0.629,1.3409278936876e-21,"7","Myh10"
"Nwd2",7.25244725496992e-26,0.118335290232731,0.047,0.001,1.34569158815967e-21,"7","Nwd2"
"Mcts11",7.44713072218267e-26,0.733737640965094,0.948,0.821,1.381815105501e-21,"7","Mcts1"
"Polr3k1",7.77690691080893e-26,0.728514932703058,0.965,0.807,1.4430050773006e-21,"7","Polr3k"
"4632427E13Rik2",8.15311593695572e-26,0.896057035109495,0.686,0.435,1.51281066210213e-21,"7","4632427E13Rik"
"Dynlrb12",8.49480609289327e-26,0.590301164591379,1,0.975,1.57621127053635e-21,"7","Dynlrb1"
"Pnisr2",8.86930199320324e-26,0.74477002597998,0.983,0.83,1.64569898483886e-21,"7","Pnisr"
"Vat1l",9.48736588954091e-26,0.183375303447536,0.087,0.007,1.76038074080432e-21,"7","Vat1l"
"Tsc22d31",1.12181561839313e-25,0.748614066510645,0.442,0.172,2.08152887992846e-21,"7","Tsc22d3"
"Samd102",1.20203590696296e-25,0.657703289887834,0.372,0.124,2.23037762536977e-21,"7","Samd10"
"Dok52",1.28477123602321e-25,0.596454646501267,0.308,0.085,2.38389302844106e-21,"7","Dok5"
"Ywhaz1",1.29683350884151e-25,0.546859456228292,1,0.996,2.40627457565542e-21,"7","Ywhaz"
"Ctbp11",1.34526323339864e-25,0.665076552359071,0.988,0.886,2.49613592957117e-21,"7","Ctbp1"
"Gm35040",1.43482638157554e-25,0.103805164777625,0.041,0.001,2.66232035101341e-21,"7","Gm35040"
"Stxbp5l",1.43563440858125e-25,0.178963320170213,0.081,0.006,2.66381964512252e-21,"7","Stxbp5l"
"Lrrtm1",1.47742449622302e-25,0.0959856603183256,0.041,0.001,2.74136115274181e-21,"7","Lrrtm1"
